city,lat,lon,aq
Agartala,23.8312377,91.2823821,177
Agra,27.1752554,78.0098161,164
Ahmedabad,23.0215374,72.5800568,195
Ahmednagar,19.162772500000003,74.85802430085195,163
Aizawl,23.7433532,92.7382756,60
Ajmer,26.4691,74.639,157
Akola,20.76181225,77.1921156663574,201
Alwar,27.414004849999998,76.61703869600933,99
Amaravati,16.5096679,80.5184535,82
Ambala,30.3843674,76.770421,168
Amravati,21.15454115,77.64429617998744,205
Amritsar,31.6356659,74.8787496,368
Anantapur,14.72421995,77.43067380798242,63
Angul,20.8382426,85.0973949,187
Ankleshwar,21.6293206,72.9945103,107
Araria,26.26510125,87.36994367279917,59
Ariyalur,11.1530559,79.25857973608959,22
Arrah,25.62345725,84.59683868653386,81
Asansol,23.6871297,86.9746587,236
Aurangabad (Bihar),24.786306,84.41448983395554,156
Aurangabad(Maharashtra),19.877263,75.3390241,155
Baddi,30.9763026,76.7674000810934,173
Badlapur,25.8951364,82.43987209006801,174
Bagalkot,16.1793224,75.6999315,68
Baghpat,28.97024845,77.3341671760283,215
Bahadurgarh,28.6933239,76.9332373,232
Balasore,21.5006421,86.919884,124
Ballabgarh,28.2940728,77.35922381594979,153
Banswara,23.49150465,74.35021720129201,119
Baran,24.92081645,76.6821984669639,134
Barbil,22.06030655,85.39277997446213,143
Bareilly,28.45823445,79.40474517998476,180
Baripada,21.9342456,86.7308825,97
Barmer,25.5814853,71.19249222700306,142
Barrackpore,22.7641623,88.3776088,186
Bathinda,30.17948135,75.04710979185342,143
Begusarai,25.5125411,86.08833919362361,209
Belapur,19.6197639,74.6599008,212
Belgaum,15.8572666,74.5069343,73
Bengaluru,12.98815675,77.62260003796,122
Bettiah,26.791072749999998,84.56010678772793,116
Bhagalpur,25.286135350000002,87.13042293057262,176
Bharatpur,27.024695899999998,77.29201163357268,233
Bhilai,21.2120677,81.3732849,147
Bhilwara,25.48911765,74.33007256947698,110
Bhiwadi,28.2039413,76.837441,226
Bhiwandi,19.3025562,73.0588072,190
Bhiwani,28.7931703,76.1391283,254
Bhopal,23.2584857,77.401989,200
Bhubaneswar,20.2602964,85.8394521,186
Bidar,18.02072965,77.24872035766641,82
Bihar Sharif,25.193859,85.5208617,152
Bikaner,28.0159286,73.3171367,242
Bilaspur,28.868311,79.29807496695935,103
Boisar,19.7984865,72.761452,148
Brajrajnagar,21.8498594,83.9254698,84
Bulandshahr,28.3874073,77.9743804965303,241
Bundi,25.4367659,75.736147085863,133
Buxar,25.5716195,83.9729568,187
Byasanagar,20.9587602,86.1226688,114
Byrnihat,26.0543348,91.8696498,160
Chamarajanagar,11.95442005,77.1069086262881,63
Chandigarh,30.7334421,76.7797143,277
Chandrapur,20.0967555,79.50454752230621,182
Charkhi Dadri,28.5919933,76.2719817,255
Chengalpattu,12.6840886,79.9836371,98
Chennai,13.0836939,80.270186,71
Chhal,29.6198314,81.8294656,94
Chhapra,25.7784105,84.7514507,290
Chikkaballapur,13.0993488,77.3886322,119
Chikkamagaluru,13.5,75.5,59
Chittoor,13.2161224,79.0972819,88
Chittorgarh,24.7171578,74.47181293724019,152
Churu,28.20477805,74.69129960764752,205
Coimbatore,11.0018115,76.9628425,61
Cuddalore,11.52020705,79.33963564750636,123
Cuttack,20.4686,85.8792,135
Damoh,23.75,79.583333,42
Dausa,26.80486585,76.44374569929329,251
Davanagere,14.2558835,75.83034209165376,109
Dehradun,30.49981565,77.86254573947093,217
Delhi,28.6273928,77.1716954,316
Dewas,23.0,76.166667,167
Dharuhera,28.2055216,76.7953099,164
Dharwad,15.3707296,75.13328673460543,98
Dholpur,22.6033021,77.18474969703212,189
Dhule,21.1305215,74.49006143365727,177
Dindigul,10.425689649999999,77.815663999998,71
Dungarpur,23.672305299999998,73.81664192753466,86
Durgapur,23.5350475,87.3380425,286
Faridabad,28.4031478,77.3105561,166
Fatehabad,27.02766825,78.2074341134146,250
Firozabad,27.178397150000002,78.38936471833091,112
Gadag,15.41669195,75.6815801296564,36
Gandhinagar,23.2232877,72.6492267,135
Gangtok,27.329046,88.6122673,32
Gaya,24.7964355,85.0079563,174
Ghaziabad,28.7678881,77.46066723508514,330
Gorakhpur,26.6677977,83.364233378331,287
Greater Noida,28.4670734,77.5137649,250
Gummidipoondi,13.43088475,80.0821378603473,90
Gurugram,28.4646148,77.0299194,209
Guwahati,26.1805978,91.753943,154
Gwalior,26.2037247,78.1573628,210
Hajipur,25.7215853,85.2549691837086,252
Haldia,22.028124,88.0632655,207
Hanumangarh,29.3659533,74.29842896506344,262
Hapur,28.739459150000002,77.83517038273197,263
Hassan,13.030185249999999,76.17449676658171,73
Haveri,14.7874825,75.3996731,108
Hisar,29.080640950000003,75.788754109493,222
Howrah,22.5736296,88.3251045,288
Hubballi,15.3518378,75.1379848,98
Hyderabad,17.360589,78.4740613,117
Imphal,24.7991162,93.9364419,104
Indore,22.7203616,75.8681996,141
Jabalpur,23.1608938,79.9497702,145
Jaipur,26.9154576,75.8189817,248
Jaisalmer,27.0264162,70.77751197645885,178
Jalandhar,31.29223115,75.56788777097373,264
Jalgaon,20.84288265,75.52612463784979,279
Jalna,19.918832950000002,75.87085986165867,190
Jalore,25.27186295,72.43881214602396,174
Jhalawar,24.3132368,76.52210783164801,112
Jhansi,25.529855,78.65278023546288,100
Jhunjhunu,28.0810679,75.37924775151512,188
Jind,29.30219685,76.33894452216312,337
Jodhpur,26.2967719,73.0351433,238
Kaithal,29.82231125,76.3790553562613,215
Kalaburagi,17.240895700000003,76.76974392025645,59
Kalyan,19.2396742,73.1366482,108
Kanchipuram,12.9647163,79.9839686,104
Kanpur,26.4609135,80.3217588,206
Karauli,26.4530971,77.0160460838982,172
Karnal,29.6803266,76.9896254,303
Karur,10.821767099999999,78.38286541157868,64
Karwar,14.8120931,74.1319229,37
Kashipur,29.2117573,78.9617306,222
Katihar,25.5586421,87.64571962485962,72
Katni,23.7477258,80.40158570175886,163
Keonjhar,21.5,85.5,69
Khanna,25.5656914,80.0634887,198
Khurja,28.206280749999998,77.87643676127676,191
Kishanganj,26.29841435,87.94667148301295,72
Kohima,25.6618755,94.1019156,91
Kolar,13.18050655,78.26693288646007,47
Kolhapur,16.7028412,74.2405329,170
Kolkata,22.5726459,88.3638953,242
Kollam,8.9674039,76.85857804538561,92
Koppal,15.57482375,76.3118493692591,31
Korba,22.5198217,82.63500285150224,78
Kota,25.1737019,75.8574194,182
Kurukshetra,29.9693747,76.8482787,252
Latur,18.355334749999997,76.75489974062862,201
Lucknow,26.8381,80.9346001,245
Ludhiana,30.9090157,75.851601,339
Madikeri,12.42149,75.7387543,32
Madurai,9.9261153,78.1140983,32
Mahad,18.080753,73.42438,214
Maihar,24.2567489,80.7637341,88
Malegaon,20.2585033,76.97657401490227,189
Mandi Gobindgarh,30.6518301,76.2998708,203
Mandideep,23.0965633,77.5144525,272
Mandikhera,27.897075,76.9922014,95
Manesar,28.3617283,76.9402153,238
Mangalore,12.8698101,74.8430082,57
Manguraha,26.3583278,85.3281977,123
Meerut,28.9963296,77.7061915,296
Mira-Bhayandar,19.3102682,72.8530973,217
Moradabad,28.879655300000003,78.80953353954959,139
Motihari,26.66951195,84.95741062485514,114
Mumbai,19.054999,72.8692035,208
Munger,25.2202864,86.51614835791698,176
Muzaffarnagar,29.44969785,77.74293325807088,235
Muzaffarpur,26.1482548,85.3316096785584,154
Mysuru,12.3051828,76.6553609,58
Nagaon,26.3313646,92.75247628339588,220
Nagaur,26.9873443,73.73890107316704,204
Nagpur,21.1498134,79.0820556,195
Naharlagun,27.103045,93.6923923,57
Nalbari,26.42386165,91.45122754621168,164
Nanded,19.09400875,77.48319215130235,277
Narnaul,27.9981957,76.07674276086783,151
Nashik,20.0112475,73.7902364,255
Navi Mumbai,19.0308262,73.0198537,181
Nayagarh,20.1160666,85.11195643843573,47
Noida,28.5706333,77.3272147,269
Ooty,11.4126769,76.7030504,81
Pali,25.45522105,73.4193889559074,193
Palwal,28.1405741,77.3259802,103
Panchkula,30.6975401,76.8551066,153
Panipat,29.3912753,76.9771675,187
Parbhani,19.29019805,76.60264434278307,240
Patiala,30.20927775,76.33972313649818,243
Patna,25.6093239,85.1235252,282
Pimpri-Chinchwad,18.6279288,73.8009829,271
Pithampur,22.6105576,75.6790283,70
Pratapgarh,25.75,81.75,126
Prayagraj,25.4381302,81.8338005,120
Puducherry,10.91564885,79.80694879844232,54
Pudukottai,10.3826515,78.8191259,72
Pune,18.5213738,73.8545071,208
Purnia,26.0,87.5,63
Raipur,21.2380912,81.6336993,105
Rairangpur,22.215745,86.23254623043805,113
Rajamahendravaram,17.0050454,81.7804732,117
Rajgir,25.0299973,85.4207368,295
Rajsamand,25.2892459,73.8241077454327,70
Ramanagara,12.720005950000001,77.31841990623,51
Ramanathapuram,9.5205576,78.51846345155016,41
Ranipet,12.9292452,79.3321712,101
Ratlam,23.50222005,74.9551534052134,147
Rishikesh,30.1086537,78.2916193,159
Rohtak,28.9010899,76.5801935,182
Rourkela,22.253999399999998,84.8577520139704,182
Rupnagar,31.0917102,76.52897012920695,164
Sagar,23.808307550000002,78.75825398721975,114
Saharsa,25.83307565,86.61437508111757,109
Sangli,16.8502534,74.5948885,99
Sasaram,24.9001003,84.0182110684575,150
Satna,24.5,81.0,80
Sawai Madhopur,26.1137182,76.4240637330536,225
Shivamogga,14.05565025,75.23805528480658,61
Sikar,27.662505799999998,75.02799052644464,201
Silchar,24.829588,92.797148,46
Siliguri,26.7164127,88.4309916,74
Singrauli,24.1974432,82.6661453,248
Sirohi,24.811404699999997,72.83002573160249,89
Sirsa,29.583333,75.083333,278
Sivasagar,26.9834936,94.6394226,77
Siwan,26.131008,84.39107448141786,317
Solapur,17.84990665,75.27632027348457,176
Sonipat,28.9953758,77.0233627,298
Sri Ganganagar,29.54807325,73.83389485608284,333
Talcher,20.9458183,85.2111736,238
Thane,19.1943294,72.9701779,227
Thanjavur,10.65903695,79.20142776213416,45
Thiruvananthapuram,8.4882267,76.947551,50
Thoothukudi,8.84570345,77.99381783527917,38
Thrissur,10.5270099,76.214621,48
Tiruchirappalli,10.804973,78.6870296,50
Tirunelveli,8.8082342,77.8114843,29
Tirupati,13.6282907,79.4195276,86
Tirupur,11.1671878,77.3472673,58
Tonk,26.122266000000003,75.82386305157223,197
Tumakuru,13.4192512,76.88100044465654,106
Udaipur,24.578721,73.6862571,127
Udupi,13.5269784,74.87318787345797,40
Ujjain,23.1885131,75.7716562,148
Ulhasnagar,19.2236329,73.1671515,232
Vapi,20.3735482,72.9084376,133
Varanasi,25.3356491,83.0076292,108
Vatva,22.9589978,72.6297981,140
Vellore,12.9021849,79.06110398623842,111
Vijayapura,16.8269911,75.7175387,74
Vijayawada,16.5087573,80.6185089,65
Virar,19.4497996,72.8120613,222
Visakhapatnam,17.7231276,83.3012842,183
Vrindavan,27.5753726,77.6938045,140
Yadgir,16.57441225,76.92544344576471,54
Yamuna Nagar,19.1481254,72.827599,221
